--- Log opened Tue Nov 16 01:13:04 2010
01:13 --- Query: Starting query with root on bitlbee2
01:13 root: Could not take over old session
01:13 root: Could not take over old session
01:13 root: Could not take over old session
01:16 root: Could not take over old session
01:16 root: Could not take over old session
01:17 root: Could not take over old session
01:17 root: Could not take over old session
01:17 root: Could not take over old session
01:17 root: Could not take over old session
01:18 root: Could not take over old session
01:18 root: Could not take over old session
01:18 root: Could not take over old session
01:19 root: Could not take over old session
01:20 root: Could not take over old session
01:20 root: oscar - Logging in: Signon: 11070386
01:20 root: oscar - Login error: Authentication Failed
01:20 root: oscar - Logging in: Signing off..
01:20 root: oscar - Logging in: Reconnecting in 900 seconds..
01:20 root: Could not take over old session
01:21 root: Could not take over old session
01:21 root: Could not take over old session
01:21 root: Could not take over old session
--- Log closed Tue Nov 16 01:23:56 2010
--- Log opened Tue Nov 16 01:24:09 2010
01:24 --- Query: Starting query with root on bitlbee2
01:24 root: Could not take over old session
01:24 root: Could not take over old session
01:28 root: Could not take over old session
01:30 root: Could not take over old session
01:31 root: Could not take over old session
01:32 root: Could not take over old session
01:32 root: Could not take over old session
01:35 root: oscar - Logging in: Signon: 11070386
01:35 root: oscar - Login error: Authentication Failed
01:35 root: oscar - Logging in: Signing off..
01:35 root: oscar - Logging in: Reconnecting in 900 seconds..
01:36 root: Could not take over old session
01:36 root: Could not take over old session
01:41 root: Could not take over old session
01:42 root: Could not take over old session
01:42 root: Could not take over old session
01:43 root: Could not take over old session
01:45 root: Could not take over old session
01:46 root: Could not take over old session
01:47 root: Could not take over old session
01:47 root: Could not take over old session
01:47 root: Could not take over old session
01:47 root: Could not take over old session
01:49 root: Could not take over old session
01:49 root: Could not take over old session
01:50 root: Could not take over old session
01:50 root: oscar - Logging in: Signon: 11070386
01:50 root: oscar - Login error: Authentication Failed
01:50 root: oscar - Logging in: Signing off..
01:50 root: oscar - Logging in: Reconnecting in 900 seconds..
01:51 root: Could not take over old session
01:51 root: Could not take over old session
01:52 root: Could not take over old session
01:53 root: Could not take over old session
01:53 root: Could not take over old session
01:54 root: Could not take over old session
01:54 root: Could not take over old session
01:55 root: Could not take over old session
01:56 root: Could not take over old session
01:58 root: Could not take over old session
01:59 root: Could not take over old session
02:00 root: Could not take over old session
02:02 root: Could not take over old session
02:04 root: Could not take over old session
02:05 root: oscar - Logging in: Signon: 11070386
02:05 root: oscar - Login error: Authentication Failed
02:05 root: oscar - Logging in: Signing off..
02:05 root: oscar - Logging in: Reconnecting in 900 seconds..
02:07 root: Could not take over old session
02:08 root: Could not take over old session
02:08 root: Could not take over old session
02:08 root: Could not take over old session
02:09 root: Could not take over old session
02:09 root: Could not take over old session
02:12 root: Could not take over old session
--- Log closed Tue Nov 16 02:18:30 2010
--- Log opened Tue Nov 16 02:19:46 2010
02:19 root: Could not take over old session
02:20 root: oscar - Logging in: Signon: 11070386
02:20 root: oscar - Login error: Authentication Failed
02:20 root: oscar - Logging in: Signing off..
02:20 root: oscar - Logging in: Reconnecting in 900 seconds..
02:20 root: Could not take over old session
02:22 root: Could not take over old session
02:27 root: Could not take over old session
02:28 root: Could not take over old session
02:28 root: Could not take over old session
02:29 root: Could not take over old session
02:30 root: Could not take over old session
02:33 root: Could not take over old session
02:35 root: oscar - Logging in: Signon: 11070386
02:35 root: oscar - Login error: Authentication Failed
02:35 root: oscar - Logging in: Signing off..
02:35 root: oscar - Logging in: Reconnecting in 900 seconds..
02:36 root: Could not take over old session
02:39 root: Could not take over old session
02:40 root: Could not take over old session
02:40 root: Could not take over old session
02:43 root: Could not take over old session
02:44 root: Could not take over old session
02:50 root: Could not take over old session
02:50 root: oscar - Logging in: Signon: 11070386
02:50 root: oscar - Login error: Authentication Failed
02:50 root: oscar - Logging in: Signing off..
02:50 root: oscar - Logging in: Reconnecting in 900 seconds..
02:55 root: Could not take over old session
--- Log closed Tue Nov 16 03:01:30 2010
--- Log opened Tue Nov 16 03:01:48 2010
03:01 root: Could not take over old session
03:02 root: Could not take over old session
03:03 root: Could not take over old session
03:05 root: oscar - Logging in: Signon: 11070386
03:05 root: oscar - Login error: Authentication Failed
03:05 root: oscar - Logging in: Signing off..
03:05 root: oscar - Logging in: Reconnecting in 900 seconds..
03:08 root: Could not take over old session
03:13 root: Could not take over old session
03:13 root: Could not take over old session
03:13 root: Could not take over old session
--- Log closed Tue Nov 16 03:19:30 2010
--- Log opened Tue Nov 16 03:20:43 2010
03:20 root: oscar - Logging in: Signon: 11070386
03:20 root: oscar - Login error: Authentication Failed
03:20 root: oscar - Logging in: Signing off..
03:20 root: oscar - Logging in: Reconnecting in 900 seconds..
03:21 root: Could not take over old session
03:21 root: Could not take over old session
03:21 root: Could not take over old session
03:24 root: Could not take over old session
03:29 root: Could not take over old session
03:30 root: Could not take over old session
03:31 root: Could not take over old session
03:35 root: oscar - Logging in: Signon: 11070386
03:35 root: oscar - Login error: Authentication Failed
03:35 root: oscar - Logging in: Signing off..
03:35 root: oscar - Logging in: Reconnecting in 900 seconds..
03:37 root: Could not take over old session
03:39 root: Could not take over old session
03:40 root: Could not take over old session
03:42 root: Could not take over old session
03:46 root: Could not take over old session
03:46 root: Could not take over old session
03:49 root: Could not take over old session
03:50 root: oscar - Logging in: Signon: 11070386
03:50 root: oscar - Login error: Authentication Failed
03:50 root: oscar - Logging in: Signing off..
03:50 root: oscar - Logging in: Reconnecting in 900 seconds..
03:51 root: Could not take over old session
03:51 root: Could not take over old session
03:52 root: Could not take over old session
03:52 root: Could not take over old session
03:56 root: Could not take over old session
03:58 root: Could not take over old session
04:00 root: Could not take over old session
04:02 root: Could not take over old session
04:05 root: oscar - Logging in: Signon: 11070386
04:05 root: oscar - Login error: Authentication Failed
04:05 root: oscar - Logging in: Signing off..
04:05 root: oscar - Logging in: Reconnecting in 900 seconds..
04:11 root: Could not take over old session
04:11 root: Could not take over old session
04:14 root: Could not take over old session
04:15 root: Could not take over old session
04:15 root: Could not take over old session
04:15 root: Could not take over old session
--- Log closed Tue Nov 16 04:20:30 2010
--- Log opened Tue Nov 16 04:20:45 2010
04:20 root: oscar - Logging in: Signon: 11070386
04:20 root: oscar - Login error: Authentication Failed
04:20 root: oscar - Logging in: Signing off..
04:20 root: oscar - Logging in: Reconnecting in 900 seconds..
04:22 root: Could not take over old session
04:25 root: Could not take over old session
04:26 root: Could not take over old session
04:27 root: Could not take over old session
--- Log closed Tue Nov 16 04:32:30 2010
--- Log opened Tue Nov 16 04:35:45 2010
04:35 root: oscar - Logging in: Signon: 11070386
04:35 root: oscar - Login error: Authentication Failed
04:35 root: oscar - Logging in: Signing off..
04:35 root: oscar - Logging in: Reconnecting in 900 seconds..
04:36 root: Could not take over old session
04:36 root: Could not take over old session
04:40 root: Could not take over old session
04:40 root: Could not take over old session
04:42 root: Could not take over old session
04:42 root: Could not take over old session
04:42 root: Could not take over old session
--- Log closed Tue Nov 16 04:48:30 2010
--- Log opened Tue Nov 16 04:49:58 2010
04:49 root: Could not take over old session
04:50 root: oscar - Logging in: Signon: 11070386
04:50 root: oscar - Login error: Authentication Failed
04:50 root: oscar - Logging in: Signing off..
04:50 root: oscar - Logging in: Reconnecting in 900 seconds..
04:53 root: Could not take over old session
04:54 root: Could not take over old session
04:58 root: Could not take over old session
05:00 root: Could not take over old session
05:00 root: Could not take over old session
05:01 root: Could not take over old session
05:01 root: Could not take over old session
05:04 root: Could not take over old session
05:05 root: oscar - Logging in: Signon: 11070386
05:05 root: oscar - Login error: Authentication Failed
05:05 root: oscar - Logging in: Signing off..
05:05 root: oscar - Logging in: Reconnecting in 900 seconds..
05:07 root: Could not take over old session
05:08 root: Could not take over old session
05:08 root: Could not take over old session
05:11 root: Could not take over old session
05:13 root: Could not take over old session
05:13 root: Could not take over old session
05:13 root: Could not take over old session
05:13 root: Could not take over old session
05:18 root: Could not take over old session
05:20 root: oscar - Logging in: Signon: 11070386
05:20 root: oscar - Login error: Authentication Failed
05:20 root: oscar - Logging in: Signing off..
05:20 root: oscar - Logging in: Reconnecting in 900 seconds..
05:20 root: Could not take over old session
05:23 root: Could not take over old session
--- Log closed Tue Nov 16 05:29:30 2010
--- Log opened Tue Nov 16 05:30:52 2010
05:30 root: Could not take over old session
05:35 root: oscar - Logging in: Signon: 11070386
05:35 root: oscar - Login error: Authentication Failed
05:35 root: oscar - Logging in: Signing off..
05:35 root: oscar - Logging in: Reconnecting in 900 seconds..
--- Log closed Tue Nov 16 05:41:30 2010
--- Log opened Tue Nov 16 05:44:50 2010
05:44 root: Could not take over old session
05:46 root: Could not take over old session
05:49 root: Could not take over old session
05:50 root: oscar - Logging in: Signon: 11070386
05:50 root: oscar - Login error: Authentication Failed
